PID;DayCareType;Daycare_Name;Mailing_City;Mailing_State;Mailing_Address;Mailing_Zip;Telephone;URL;Capacity (optional);Age Range (optional),,
2726729;Church/Synagogue;ST DAVID'S EPISCOPAL SCHOOL;San Antonio;TX;;;;;;,,
2726810;Church/Synagogue;ALAMO HGTS PRESBY CH DAY SCH;San Antonio;TX;;;;;;,,
2730251;Church/Synagogue;FIRST PRESBYTERIAN CHILD CARE;Bryan;TX;;;;;;,,
2733174;Church/Synagogue;GRACE PRESBYTERIAN LEARNING;Plano;TX;;;;;;,,
2733966;Church/Synagogue;FIRST PROTESTANT SCHOOL;New Braunfels;TX;;;;;;,,
2740385;Church/Synagogue;WESLEYAN ACADEMY;Irving;TX;;;;;;,,
2740529;Church/Synagogue;FIRST KIDS;Richardson;TX;;;;;;,,
2741585;Independent Center;DENTON CITY COUNTY DAY SCHOOL;Denton;TX;;;;;;,,
2743272;Church/Synagogue;TRINITY FIRST MOTHER'S DAY OUT;El Paso;TX;;;;;;,,
2747890;Church/Synagogue;FIRST BAPTIST WEE LEARN CENTER;Longview;TX;;;;;;,,
2749240;Church/Synagogue;CHAPELWOOD PRE-SCHOOL;Houston;TX;;;;;;,,
2749329;Church/Synagogue;ST LUKE'S DAY SCHOOL;Houston;TX;;;;;;,,
2749836;Church/Synagogue;LAMB SCHOOL;Houston;TX;;;;;;,,
2750213;Church/Synagogue;WESTBURY UNITED METH DAY CARE;Houston;TX;;;;;;,,
2753306;Church/Synagogue;ST JEROME EARLY CHILDHOOD CTR;Houston;TX;;;;;;,,
2756097;Independent Center;JB ADAMS SCHOOL;Houston;TX;;;;;;,,
2758071;Montessori;CLEAR LAKE MONTESSORI SCH;Houston;TX;;;;;;,,
2759245;Church/Synagogue;WEE WUNS WEEK DAY MINISTRIES;Cypress;TX;;;;;;,,
2759879;College/University Based;TEXAS STATE UNIVERSITY CDC;San Marcos;TX;;;;;;,,
2762280;Church/Synagogue;ST PAULS EPISCOPAL SCHOOL;Greenville;TX;;;;;;,,
2762371;College/University Based;TEXAS A&M CHILDREN'S LRNG CTR;Commerce;TX;;;;;;,,
2764666;Church/Synagogue;ST PETER'S EPISCOPAL SCHOOL;Kerrville;TX;;;;;;,,
2766846;Church/Synagogue;COLUMBUS AVE BAPTIST CHURCH DC;Waco;TX;;;;;;,,
