PID;DayCareType;Daycare_Name;Mailing_City;Mailing_State;Mailing_Address;Mailing_Zip;Telephone;URL;Capacity (optional);Age Range (optional);Original_Name;Normalized_Name;Normalized_Name_Core;Search_Name_Primary;Search_Name_Variants;Cleaning_Rules_Applied
2940171;Church/Synagogue;CENTRAL CHRISTIAN CCC;Lexington;KY;;;;;;,,;CENTRAL CHRISTIAN CCC;CENTRAL CHRISTIAN CCC;CENTRAL CHRISTIAN;CENTRAL CHRISTIAN CHILD CARE CENTER;CENTRAL CHRISTIAN CHILD CARE CENTER || CENTRAL CHRISTIAN CCC || CENTRAL CHRISTIAN;CCC->CHILD CARE CENTER
2940987;Independent Center;BROOKLINE INFANT & TODDLER CTR;Auburndale;MA;;;;;;,,;BROOKLINE INFANT & TODDLER CTR;BROOKLINE INFANT AND TODDLER CTR;BROOKLINE INFANT TODDLER;BROOKLINE INFANT AND TODDLER CENTER;BROOKLINE INFANT AND TODDLER CENTER || BROOKLINE INFANT AND TODDLER CENTRE || BROOKLINE INFANT AND TODDLER CTR || BROOKLINE INFANT AND TODDLER || BROOKLINE INFANT TODDLER;CTR->CENTER || CTR->CENTRE
2952837;Other Chains;GIRL'S INCORPORATED DAY CARE;Nashua;NH;;;;;;,,;GIRL'S INCORPORATED DAY CARE;GIRLS INCORPORATED DAY CARE;GIRLS INCORPORATED;GIRLS INCORPORATED DAY CARE;GIRLS INCORPORATED DAY CARE || GIRLS INCORPORATED;
2953805;Independent Center;BANNER PRE-SCHOOL;Winnetka;IL;;;;;;,,;BANNER PRE-SCHOOL;BANNER PRESCHOOL;BANNER;BANNER PRESCHOOL;BANNER PRESCHOOL || BANNER;
2954380;YMCA/YWCA;MANCHESTER YMCA BEF/AFT CDC;Manchester;NH;;;;;;,,;MANCHESTER YMCA BEF/AFT CDC;MANCHESTER YMCA BEF AFT CDC;YMCA BEF AFT;MANCHESTER YMCA BEF AFT CHILD DEVELOPMENT CENTER;MANCHESTER YMCA BEF AFT CHILD DEVELOPMENT CENTER || MANCHESTER YMCA BEF AFT CDC || MANCHESTER YMCA BEF AFT || YMCA BEF AFT;CDC->CHILD DEVELOPMENT CENTER || removed city tokens from core: MANCHESTER
2957710;Independent Center;JCC CHILD DEVELOPMENT CTR;Omaha;NE;;;;;;,,;JCC CHILD DEVELOPMENT CTR;JCC CHILD DEVELOPMENT CTR;JCC;JCC CHILD DEVELOPMENT CENTER;JCC CHILD DEVELOPMENT CENTER || JCC CHILD DEVELOPMENT CENTRE || JCC CHILD DEVELOPMENT CTR || JCC;CTR->CENTER || CTR->CENTRE
2961759;Church/Synagogue;ALAMO HEIGHTS UMC WEEKDAY SCH;San Antonio;TX;;;;;;,,;ALAMO HEIGHTS UMC WEEKDAY SCH;ALAMO HEIGHTS UMC WEEKDAY SCH;ALAMO HEIGHTS UMC WEEKDAY;ALAMO HEIGHTS UMC WEEKDAY SCHOOL;ALAMO HEIGHTS UMC WEEKDAY SCHOOL || ALAMO HEIGHTS UMC WEEKDAY SCH || ALAMO HEIGHTS UMC WEEKDAY;SCH->SCHOOL
2970396;Church/Synagogue;MORNING STAR PRE DAY CARE CTR;Omaha;NE;;;;;;,,;MORNING STAR PRE DAY CARE CTR;MORNING STAR PRE DAY CARE CTR;MORNING STAR;MORNING STAR PRESCHOOL DAY CARE CTR;MORNING STAR PRESCHOOL DAY CARE CTR || MORNING STAR PRE DAY CARE CENTER || MORNING STAR PRE DAY CARE CENTRE || MORNING STAR PRE DAY CARE CTR || MORNING STAR;PRE->PRESCHOOL || PRE->PRE SCHOOL || CTR->CENTER || CTR->CENTRE
2972150;Independent Center;CATAWBA RIDGE CHILD DEV CENTER;Hickory;NC;;;;;;,,;CATAWBA RIDGE CHILD DEV CENTER;CATAWBA RIDGE CHILD DEV CENTER;CATAWBA RIDGE;CATAWBA RIDGE CHILD DEVELOPMENT CENTER;CATAWBA RIDGE CHILD DEVELOPMENT CENTER || CATAWBA RIDGE CHILD DEV CENTER || CATAWBA RIDGE;DEV->DEVELOPMENT
2974342;Church/Synagogue;ST ANTHONY OF PADUA DC;Greenville;SC;;;;;;,,;ST ANTHONY OF PADUA DC;ST ANTHONY OF PADUA DC;ST ANTHONY PADUA;ST ANTHONY OF PADUA DEVELOPMENT CENTER;ST ANTHONY OF PADUA DEVELOPMENT CENTER || ST ANTHONY OF PADUA DAY CARE || SAINT ANTHONY OF PADUA DC || ST ANTHONY OF PADUA DC || ST ANTHONY OF PADUA || ST ANTHONY PADUA;ST->SAINT || ST->ST || DC->DAY CARE || DC->DEVELOPMENT CENTER
2977643;Independent Center;RIVER FOREST CMTY DAY CARE CTR;River Forest;IL;;;;;;,,;RIVER FOREST CMTY DAY CARE CTR;RIVER FOREST CMTY DAY CARE CTR;CMTY;RIVER FOREST COMMUNITY DAY CARE CTR;RIVER FOREST COMMUNITY DAY CARE CTR || RIVER FOREST CMTY DAY CARE CENTER || RIVER FOREST CMTY DAY CARE CENTRE || RIVER FOREST CMTY DAY CARE CTR || RIVERFOREST CMTY DAY CARE CTR || RIVER FOREST CMTY || CMTY;CMTY->COMMUNITY || CTR->CENTER || CTR->CENTRE || RIVER FOREST->RIVERFOREST (compound city) || removed city tokens from core: RIVER FOREST
